seed,macro_f1,recall_f3,recall_f9,recall_f15
42,0.861199087301137,1.0,0.52,0.18451612903225806
7,0.9183751293503496,0.8070967741935484,0.8264516129032258,0.31548387096774194
123,0.7954198008294067,0.0012903225806451613,0.9606451612903226,0.0
2024,0.9145429187774101,0.8606451612903225,0.8554838709677419,0.17935483870967742
2025,0.9218738930954399,0.9561290322580646,0.795483870967742,0.64
SUMMARY,0.882 ± 0.055 (95% CI ±0.048),0.725 ± 0.412 (95% CI ±0.361),0.792 ± 0.164 (95% CI ±0.144),0.264 ± 0.238 (95% CI ±0.209)
