seed,accuracy,macro_f1,AUROC
42,0.977366255144033,0.9731285216665745,0.9901735997379626
7,0.9609053497942387,0.9544465657328065,0.9873894529970519
123,0.9794238683127572,0.975618566010475,0.9867753029806747
2024,0.98559670781893,0.9828330078568509,0.9897436947264986
2025,0.9320987654320988,0.9155765880055378,0.9720357025876188
MEAN+/-STD,0.967 +/- 0.022,0.960 +/- 0.027,0.985 +/- 0.008
