is_unknown,maha,energy,entropy
0,19.353064992278064,-3.8800254,1.3275833
0,35.07315932737642,-2.6347265,1.4614439
0,27.425837140209538,-2.6947868,1.5154812
0,19.696970195632858,-3.9244976,1.3518739
0,20.04636710942622,-4.7521896,1.2083687
0,21.34110332735277,-3.427944,1.0746852
0,26.0778178121612,-3.4236655,1.3979722
0,34.40999569342722,-3.41752,1.3311275
0,23.23955217313539,-3.543102,1.3994516
0,35.1897671888254,-2.9566603,1.4671044
0,25.687285130326032,-3.1082044,1.5929003
0,24.625310857276567,-2.9915645,1.5695399
0,30.74758057850142,-3.0865662,1.0123227
0,25.513789614965724,-3.9843297,0.6616227
0,25.97341154637337,-4.0895834,1.0970905
0,24.37055397004386,-3.7538848,1.3350602
0,20.836519442379362,-4.6637187,1.2436105
0,21.885436314816374,-3.369011,1.4110831
0,24.872136183974902,-2.7189932,1.5466658
0,22.40163483410371,-3.4286048,1.4642138
0,29.016368718058388,-5.1717744,1.1440839
0,33.86245741548316,-4.327453,1.3861759
0,24.049428598285775,-4.2114835,1.3758633
0,14.309509066899949,-4.2433367,1.2018152
0,28.82307935656886,-5.199136,1.0675033
0,23.807228533037076,-4.1345997,1.2287941
0,33.09394723574861,-3.797986,1.2789938
0,13.288782503015323,-4.5071325,1.3369989
0,19.27877247859482,-4.5264683,1.105657
0,20.21246377527871,-3.852059,1.1779355
0,29.953286221832634,-4.460372,0.77458036
0,12.039572811668311,-4.459383,0.9202033
0,26.457662416391226,-4.6296015,1.3707849
0,32.11551959239205,-2.6631227,1.5938848
0,42.00194603616596,-2.4681835,1.0405358
0,54.45651389329909,-3.0899553,0.8735774
0,39.76079952726988,-4.617181,0.96375966
0,15.170924684863149,-4.0041213,0.91357946
0,14.718622685859284,-4.0929365,1.3756908
0,25.847461842165462,-5.004339,1.3351587
0,21.789465840726457,-4.640275,1.3119422
0,23.777638880105265,-4.478467,1.3024349
0,31.59800122887109,-3.9829419,1.4057432
0,18.486084154334975,-3.4562078,1.319896
0,17.135842424616637,-3.467878,1.3981841
0,15.239598424087838,-4.4244976,1.3567569
0,17.855478854607945,-4.830746,1.3154862
0,18.378676307852423,-4.7845182,1.2592913
0,14.549367681088942,-4.696321,0.7773359
0,16.317576862570597,-5.185866,1.3094983
0,21.43357118214535,-4.173975,1.0468155
0,34.94042782939001,-4.9301,0.8378203
0,32.72147440452749,-4.701049,1.2944067
0,26.90393169724488,-3.2947872,1.2187997
0,17.238002091247814,-4.0898333,1.0104226
0,17.198393289076442,-4.179756,1.4044932
0,23.696986938959867,-3.3785403,0.90435135
0,22.667222301139304,-3.5396602,0.99734074
0,24.231612534878067,-2.5676541,1.3569211
0,19.671695552477946,-3.3918834,1.1617138
0,14.962618906808693,-4.0255537,0.9895556
0,23.77549694198586,-4.709281,1.3392856
0,19.560350438763873,-3.313845,1.3546411
0,17.039366197419202,-4.05153,0.9593402
0,20.285877485130115,-3.752114,1.2754294
0,22.035860797605398,-3.1575851,1.163083
0,23.99112430456494,-2.991485,1.086724
0,21.54741312819029,-3.1032,1.15754
0,21.67546541520956,-4.273522,0.93558943
0,21.756939516678372,-4.875614,1.389885
0,25.471795849839662,-3.3614972,1.5673568
0,19.110376088495205,-3.9273493,1.3093123
0,16.960712008032967,-4.1904364,1.2279799
0,25.709586128478467,-5.341743,1.1323578
0,24.686887349595338,-4.9151754,0.700575
0,14.593321271749431,-4.335216,1.073252
